"method","n","main_effect_size","hte_effect_size","power_age","power_age_lower","power_age_upper","power_race","power_race_lower","power_race_upper","power_disease","power_disease_lower","power_disease_upper","fpr_age","fpr_age_lower","fpr_age_upper","fpr_race","fpr_race_lower","fpr_race_upper","fpr_disease","fpr_disease_lower","fpr_disease_upper","cost_effectiveness","ce_lower","ce_upper"
"ab",1000,0.1,0.05,0.0533333333333333,0.0389166666666667,0.0659166666666667,0.0763333333333333,0.0640833333333333,0.0933333333333333,0.0663333333333333,0.0474166666666667,0.0825833333333333,0.096,0.07225,0.13,0.278,0.188,0.32,0.113,0.0645,0.15775,2299.20374465252,2092.22581234257,2461.76446254444
"smart",1000,0.1,0.05,0.062,0.04,0.09775,0.123,0.089,0.14775,0.317,0.2645,0.36775,0.104,0.08225,0.151,0.26,0.2045,0.351,0.09,0.06225,0.1255,2000.1897232733,1898.92665327,2092.59034343045
"ab",1000,0.1,0.1,0.153666666666667,0.137416666666667,0.1685,0.156333333333333,0.13075,0.17925,0.179333333333333,0.158166666666667,0.19925,0.12,0.0745,0.1855,0.229,0.17675,0.291,0.118,0.05225,0.18325,2472.78482081406,2386.47564990669,2544.7362852181
"smart",1000,0.1,0.1,0.065,0.03225,0.10775,0.121,0.09,0.17,0.774,0.6945,0.83,0.1,0.06225,0.1355,0.235,0.158,0.28775,0.116,0.079,0.14775,1985.84345977664,1904.48955676159,2046.60800945351
"ab",1000,0.1,0.15,0.251333333333333,0.237416666666667,0.273666666666667,0.256666666666667,0.237083333333333,0.27,0.286333333333333,0.27075,0.29925,0.102,0.06225,0.1665,0.271,0.17675,0.3565,0.115,0.0645,0.19325,2602.67975094535,2480.20369048483,2719.89575623716
"smart",1000,0.1,0.15,0.067,0.02675,0.1,0.147,0.099,0.18,0.972,0.96,0.9955,0.096,0.07,0.12775,0.255,0.18675,0.29,0.099,0.039,0.182,1985.60321326995,1794.74360731775,2140.36026157216
"ab",1000,0.2,0.05,0.0466666666666667,0.02075,0.0651666666666667,0.0693333333333333,0.0540833333333333,0.0825833333333333,0.0596666666666667,0.05,0.0725833333333333,0.117,0.06675,0.1555,0.249,0.19,0.32775,0.105,0.0545,0.1655,2857.16686398003,2754.57055489841,2994.84511746376
"smart",1000,0.2,0.05,0.053,0.0145,0.09325,0.141,0.10225,0.211,0.209,0.139,0.25,0.104,0.07,0.13775,0.235,0.17675,0.27775,0.117,0.1,0.1555,2037.23696860872,1966.64484072837,2086.58503495187
"ab",1000,0.2,0.1,0.125,0.108916666666667,0.149583333333333,0.138,0.109666666666667,0.161083333333333,0.160666666666667,0.154083333333333,0.17,0.109,0.05,0.18875,0.254,0.21,0.31775,0.11,0.07225,0.15775,3059.86958522587,2963.80731145458,3132.23617040075
"smart",1000,0.2,0.1,0.054,0.0145,0.09325,0.141,0.12,0.16775,0.581,0.509,0.67325,0.106,0.07,0.15325,0.273,0.1945,0.361,0.119,0.08225,0.14775,2050.59416931231,1972.19991539016,2093.44072465647
"ab",1000,0.2,0.15,0.225333333333333,0.204833333333333,0.250333333333333,0.241,0.23,0.255166666666667,0.268333333333333,0.246666666666667,0.293666666666667,0.087,0.06225,0.11775,0.259,0.18225,0.33325,0.097,0.06225,0.1455,3162.77978109197,3029.76556937894,3246.5087726491
"smart",1000,0.2,0.15,0.062,0.02225,0.11,0.141,0.1045,0.17,0.853,0.80675,0.89325,0.129,0.09,0.19325,0.243,0.1745,0.28775,0.12,0.08225,0.15775,2082.14819585809,1961.43658757106,2181.70978810971
"ab",1000,0.3,0.05,0.039,0.0189166666666667,0.0559166666666667,0.0686666666666667,0.0574166666666667,0.0825833333333333,0.0536666666666667,0.0415,0.0710833333333333,0.095,0.05225,0.12775,0.257,0.19675,0.31775,0.107,0.0645,0.1555,3580.53215890552,3429.32092315484,3707.36555935445
"smart",1000,0.3,0.05,0.066,0.04,0.111,0.137,0.09225,0.1755,0.152,0.1045,0.1955,0.127,0.09225,0.16,0.243,0.1745,0.30775,0.117,0.08,0.16,2113.72672526964,1999.89370910969,2225.62996373725
"ab",1000,0.3,0.1,0.123333333333333,0.106666666666667,0.141833333333333,0.139,0.11075,0.16775,0.151666666666667,0.129666666666667,0.174416666666667,0.112,0.06225,0.171,0.26,0.16125,0.35875,0.111,0.0745,0.13775,3707.01181971989,3569.50417741854,3822.3964939429
"smart",1000,0.3,0.1,0.057,0.02225,0.10325,0.16,0.11225,0.2255,0.405,0.37,0.43775,0.107,0.06225,0.13775,0.278,0.1845,0.3865,0.123,0.08225,0.181,2139.46423907905,2065.3195228313,2206.25765034057
"ab",1000,0.3,0.15,0.218333333333333,0.198166666666667,0.23925,0.227666666666667,0.19675,0.245916666666667,0.263666666666667,0.254083333333333,0.271833333333333,0.12,0.049,0.17775,0.252,0.1645,0.3255,0.123,0.08,0.15,3884.05169114915,3753.58579429735,3971.68623687502
"smart",1000,0.3,0.15,0.061,0.02225,0.09,0.152,0.08125,0.18775,0.7,0.61125,0.77775,0.133,0.11225,0.15775,0.253,0.19675,0.28,0.109,0.07,0.18975,2080.38339482405,1934.20833070651,2180.20729408311
