"method","n","main_effect_size","hte_effect_size","power_age","power_age_lower","power_age_upper","power_race","power_race_lower","power_race_upper","power_disease","power_disease_lower","power_disease_upper","fpr_age","fpr_age_lower","fpr_age_upper","fpr_race","fpr_race_lower","fpr_race_upper","fpr_disease","fpr_disease_lower","fpr_disease_upper","cost_effectiveness","ce_lower","ce_upper"
"ab",1000,0.1,0.05,0.123333333333333,0.103958333333333,0.147708333333333,0.1275,0.110791666666667,0.148666666666667,0.134083333333333,0.115,0.162,0.0329166666666667,0.0224583333333333,0.0468333333333333,0.0771666666666667,0.0613333333333333,0.097,0.035,0.0233333333333333,0.0477916666666666,2240.41463642294,2074.12684978018,2393.72698011694
"smart",1000,0.1,0.05,0.0515,0.032375,0.072625,0.1215,0.097375,0.157875,0.30425,0.252375,0.3555,0.10675,0.072125,0.142625,0.217,0.167375,0.272625,0.10725,0.082375,0.1455,1890.94806561493,1733.13699580999,2016.11233876355
"ab",1000,0.1,0.1,0.293666666666667,0.280708333333333,0.303333333333333,0.281166666666667,0.2715,0.289208333333333,0.3065,0.29825,0.317541666666667,0.0355,0.025,0.0475416666666667,0.0819166666666667,0.0716666666666667,0.0966666666666667,0.0314166666666667,0.0215833333333333,0.0475416666666667,2312.73917145063,2164.15024271845,2467.91879300501
"smart",1000,0.1,0.1,0.05075,0.027375,0.07525,0.12375,0.0845,0.16525,0.78325,0.747375,0.822875,0.115,0.087375,0.147625,0.2315,0.182375,0.272625,0.1135,0.082375,0.152875,1861.31880620019,1706.23467196166,2019.460184744
"ab",1000,0.1,0.15,0.33175,0.328333333333333,0.333333333333333,0.330666666666667,0.327458333333333,0.333333333333333,0.332916666666667,0.331666666666667,0.333333333333333,0.0303333333333333,0.0199166666666667,0.0451666666666667,0.0824166666666667,0.0665,0.100166666666667,0.0334166666666667,0.02,0.0525416666666667,2408.00799219788,2209.81645809632,2610.07244152813
"smart",1000,0.1,0.15,0.05325,0.025,0.0855,0.1235,0.102375,0.168625,0.96775,0.945,0.982625,0.10925,0.07,0.152875,0.2265,0.187375,0.2805,0.105,0.065,0.14025,1854.55113361635,1715.25471492296,1963.9775666501
"ab",1000,0.2,0.05,0.105416666666667,0.08825,0.119291666666667,0.114416666666667,0.0972916666666667,0.131666666666667,0.11575,0.0914166666666667,0.137625,0.03375,0.0216666666666667,0.0450833333333333,0.0873333333333333,0.06825,0.114708333333333,0.0326666666666667,0.0215833333333333,0.0442083333333333,2826.79257939827,2726.42951386738,2948.24290992574
"smart",1000,0.2,0.05,0.05725,0.02975,0.09525,0.12475,0.09,0.183375,0.20775,0.17,0.252625,0.10575,0.065,0.137625,0.232,0.18975,0.28525,0.10275,0.075,0.13525,1994.94806020543,1921.13950686442,2117.94602011994
"ab",1000,0.2,0.1,0.26775,0.254916666666667,0.289291666666667,0.262416666666667,0.245791666666667,0.272541666666667,0.283416666666667,0.267291666666667,0.295875,0.0331666666666667,0.0207083333333333,0.0477916666666666,0.0886666666666667,0.072375,0.102708333333333,0.0341666666666667,0.0240416666666667,0.0435,2952.55873712003,2819.88773916315,3121.40660976578
"smart",1000,0.2,0.1,0.05725,0.037375,0.0855,0.11975,0.07475,0.16525,0.57725,0.5195,0.66025,0.1205,0.09475,0.163125,0.22,0.177125,0.28525,0.10875,0.082375,0.142625,1939.10297358367,1750.4081063733,2086.25175898401
"ab",1000,0.2,0.15,0.329833333333333,0.325,0.333333333333333,0.326166666666667,0.32,0.330875,0.331,0.324916666666667,0.333333333333333,0.03375,0.0240416666666667,0.0442083333333333,0.0890833333333333,0.0716666666666667,0.108416666666667,0.0349166666666667,0.022375,0.0519166666666667,3040.02165737888,2806.13702632307,3226.98948412698
"smart",1000,0.2,0.15,0.05375,0.037375,0.07,0.12325,0.08975,0.167625,0.8515,0.815,0.888125,0.1115,0.077375,0.142625,0.23575,0.19975,0.283375,0.10575,0.077375,0.147625,1977.35874070012,1870.92645224916,2057.15139563107
"ab",1000,0.3,0.05,0.09125,0.0757083333333333,0.109375,0.10675,0.092375,0.120875,0.102333333333333,0.083625,0.118416666666667,0.0346666666666667,0.0257916666666667,0.0492083333333333,0.0863333333333333,0.0631666666666667,0.110083333333333,0.0340833333333333,0.0224583333333333,0.0434166666666667,3470.00431503593,3359.66355715972,3669.13076775509
"smart",1000,0.3,0.05,0.05775,0.02475,0.087625,0.1165,0.07975,0.142625,0.169,0.122125,0.21,0.109,0.085,0.1555,0.2335,0.182375,0.291,0.10575,0.072375,0.148625,2091.452287953,1939.08429015837,2198.39038530681
"ab",1000,0.3,0.1,0.2595,0.245708333333333,0.270875,0.250583333333333,0.233958333333333,0.265875,0.274416666666667,0.26,0.29875,0.0309166666666667,0.01825,0.042625,0.08475,0.0681666666666667,0.104458333333333,0.0355833333333333,0.024125,0.0542083333333333,3604.46074520472,3444.09576643526,3755.57012903933
"smart",1000,0.3,0.1,0.05875,0.037375,0.1,0.12725,0.097125,0.16,0.41925,0.35425,0.493125,0.115,0.061375,0.15525,0.21925,0.177375,0.25,0.11075,0.07475,0.15,2051.19373230407,1869.42601432275,2242.88607377647
"ab",1000,0.3,0.15,0.327166666666667,0.315541666666667,0.332541666666667,0.32425,0.317458333333333,0.329208333333333,0.33025,0.325791666666667,0.333333333333333,0.0355,0.0224583333333333,0.045,0.0886666666666667,0.0665,0.1135,0.0350833333333333,0.02325,0.0442083333333333,3765.76738234945,3661.866598778,3971.77318235064
"smart",1000,0.3,0.15,0.064,0.037375,0.092625,0.1155,0.07475,0.162875,0.70025,0.647125,0.748375,0.1145,0.07975,0.17,0.2145,0.157125,0.273125,0.1065,0.082375,0.14025,2050.45534740763,1950.70470214783,2180.4295691151
